"David L. Cook","Mansfield, TX","http://www.mansfield-tx.gov","http://www.mansfield-tx.gov/departments/council/members/mayor.php"
"Oscar Trevino","North Richland Hills, TX","https://www.nrhtx.com","https://www.nrhtx.com/360/Mayor"
"Rawley McCoy","Victoria, TX","http://www.victoriatx.org",""
"Tammy Dana-Bashian","Rowlett, TX","http://www.rowlett.com","http://www.rowlett.com/directory.aspx?EID=396"
"Chris Boswell","Harlingen, TX","http://www.myharlingen.us","http://www.myharlingen.us/default.aspx?name=admin.mayor_commission"
"Victor Gonzales","Pflugerville, TX","http://cityofpflugerville.com/",""
"Jane Hughson","San Marcos, TX","http://www.sanmarcostx.gov","http://www.sanmarcostx.gov/386/Mayor-Jane-Hughson"
"Linda Lipp Martin","Euless, TX","http://www.ci.euless.tx.us","http://www.euless.org/cityhall/mayor.htm"
"Troy Hill","Leander, TX","http://www.leandertx.gov",""
"Thurman 'Bill' Bartie","Port Arthur, TX","http://www.portarthur.net",""
"William 'Bill' D. Tate","Grapevine, TX","http://www.ci.grapevine.tx.us","http://www.ci.grapevine.tx.us/index.aspx?nid=93"
"Curtistene Smith McCowan","DeSoto, TX","http://www.desototexas.gov","http://www.ci.desoto.tx.us/61/Place-One"
"Eric Hogue","Wylie, TX","http://www.ci.wylie.tx.us",""
"Craig Brown","Galveston, TX","http://www.cityofgalveston.org","https://www.galvestontx.gov/517/District-2-Craig-Brown"
"David Hillock","Little Elm, TX","http://www.littleelm.org","http://www.littleelm.org/index.aspx?NID=875"
"Jim Griffin","Bedford, TX","http://www.ci.bedford.tx.us",""
"Matthew 'Matt' T. Doyle","Texas City, TX","http://www.texas-city-tx.org","http://www.texas-city-tx.org/page/commissioners.mayor"
"Stephen Mason","Cedar Hill, TX","http://www.cedarhilltx.com","http://cedarhilltx.com/2518/Mayor-Stephen-Mason"
"Pat McGrail","Keller, TX","http://cityofkeller.com",""
"Ken Shetter","Burleson, TX","http://www.burlesontx.com","http://www.burlesontx.com/index.aspx?nid=129"
"Travis Mitchell","Kyle, TX","http://www.cityofkyle.com",""
"Jim Pruitt","Rockwall, TX","http://rockwall.com","http://www.rockwall.com/documents/MayorCouncil/JimPruitt.pdf"
"An Truong","Haltom City, TX","http://www.haltomcitytx.com",""
"Joe McCourry","The Colony, TX","http://www.ci.the-colony.tx.us",""
"David Plyler","Sherman, TX","http://www.cityofsherman.org",""
"Karen Hunt","Coppell, TX","http://www.coppelltx.gov","http://www.coppelltx.gov/Pages/Council-Mayor.aspx"
"Andy Brauninger","Huntsville, TX","http://www.huntsvilletx.gov","http://www.huntsvilletx.gov/Directory.aspx?EID=158"
"David Suarez","Weslaco, TX","http://www.weslacotx.gov",""
"Ralph Gutierrez","Schertz, TX","http://schertz.com","http://schertz.com/236/Mayor"
"Robert C. Dye","Farmers Branch, TX","http://www.farmersbranch.info","https://www.farmersbranchtx.gov/DocumentCenter/View/6981/Mayor-Dye-bio?bidId="
"Mike Foreman","Friendswood, TX","http://www.ci.friendswood.tx.us","http://www.ci.friendswood.tx.us/Biographies/"
"Clyde Hairston","Lancaster, TX","http://www.lancaster-tx.com",""
"Barry L. Gordon","Duncanville, TX","http://www.duncanville.com","http://www.duncanville.com/government/city-council/barry-gordon/"
"Henry Wilson","Hurst, TX","http://www.hursttx.gov",""
"William 'Bill' T. Benton","Rosenberg, TX","http://www.ci.rosenberg.tx.us","http://rosenbergtx.gov/city-government/mayor-city-council/"
"Bob Bruggeman","Texarkana, TX","http://www.ci.texarkana.tx.us","http://www.ci.texarkana.tx.us/302/Bob-Bruggeman-Mayor"
"Mario Garza","San Juan, TX","http://www.cityofsanjuantexas.com",""
"Kevin Strength","Waxahachie, TX","http://www.waxahachie.com",""
"Bruno 'Ralphy' Lozano","Del Rio, TX","http://www.cityofdelrio.com","http://www.cityofdelrio.com/445/Mayor"
"Bob Brown","Lufkin, TX","http://www.ci.lufkin.tx.us","http://cityoflufkin.com/council/mayor.htm"
"Louis Rigby","La Porte, TX","http://www.ci.la-porte.tx.us",""
"Elia Garcia","Socorro, TX","http://www.ci.socorro.tx.us",""
"Jerry Mouton Jr.","Deer Park, TX","http://www.deerparktx.gov","http://www.deerparktx.gov/Index.aspx?NID=1023"
"Shelley Brophy","Nacogdoches, TX","http://www.ci.nacogdoches.tx.us",""
"Bradi Diaz","Copperas Cove, TX","http://www.copperascovetx.gov",""
"Scott Cain","Cleburne, TX","https://www.cleburne.net","https://www.cleburne.net/239/Scott-Cain"
"Stan ""Stosh"" Boyle","Cibolo, TX","https://www.cibolotx.gov/",""
"Ramsey English Cantu","Eagle Pass, TX","http://www.eaglepasstx.us","https://www.portstoplains.com/index.php/our-alliance/our-board/57-personnel/board-members/457-ramsey-english-cantu"
"Doug Gaul","Hutto, TX","http://www.huttotx.gov","http://www.huttotx.gov/government/city_council/mayor_doug_gaul.php"
"Sergio Coronado","Hidalgo, TX","http://www.cityofhidalgo.net","http://cityofhidalgo.net/mayors-message/"
"Frank Moreno Junior","Crystal City, TX","http://www.cityofcc.org",""
