Ambrosio 'Amos' Hernandez,"Pharr, TX",http://www.pharr-tx.gov,https://rgvweightloss.com/team-member/dr-ambrosio-hernandez/,dhrhealth,dhrhealth
Steve Dixon,"Flower Mound, TX",http://www.flower-mound.com,,error,error
Brandon Capetillo,"Baytown, TX",http://www.baytown.org,https://www.baytown.org/city-hall/city-council/meet-the-mayor,error,error
Corbin Van Arsdale,"Cedar Park, TX",http://www.cedarparktexas.gov,http://www.cedarparktexas.gov/government/mayor-and-city-council/mayor-and-city-council-members/mayor-matt-powell,error,error
William A. Jones III,"Temple, TX",http://www.ci.temple.tx.us,,error,error
Yolanda Ford,"Missouri City, TX",http://www.missouricitytx.gov,http://www.missouricitytx.gov/370/Mayor,error,error
Dale Ross,"Georgetown, TX",https://georgetown.org,https://government.georgetown.org/city-council/mayor/,,georgetowntx
David L. Cook,"Mansfield, TX",http://www.mansfield-tx.gov,http://www.mansfield-tx.gov/departments/council/members/mayor.php,error,error
Oscar Trevino,"North Richland Hills, TX",https://www.nrhtx.com,https://www.nrhtx.com/360/Mayor,error,error
Rawley McCoy,"Victoria, TX",http://www.victoriatx.org,,error,error
Tammy Dana-Bashian,"Rowlett, TX",http://www.rowlett.com,http://www.rowlett.com/directory.aspx?EID=396,cityofrowletttexas,RowlettMayorTDB
Chris Boswell,"Harlingen, TX",http://www.myharlingen.us,http://www.myharlingen.us/default.aspx?name=admin.mayor_commission,,myharlingen
Victor Gonzales,"Pflugerville, TX",http://cityofpflugerville.com/,,error,error
Jane Hughson,"San Marcos, TX",http://www.sanmarcostx.gov,http://www.sanmarcostx.gov/386/Mayor-Jane-Hughson,error,error
Linda Lipp Martin,"Euless, TX",http://www.ci.euless.tx.us,http://www.euless.org/cityhall/mayor.htm,error,error
Troy Hill,"Leander, TX",http://www.leandertx.gov,,error,error
Thurman 'Bill' Bartie,"Port Arthur, TX",http://www.portarthur.net,,error,error
William 'Bill' D. Tate,"Grapevine, TX",http://www.ci.grapevine.tx.us,http://www.ci.grapevine.tx.us/index.aspx?nid=93,grapevinetx,GrapevineTXCity
Curtistene Smith McCowan,"DeSoto, TX",http://www.desototexas.gov,http://www.ci.desoto.tx.us/61/Place-One,,desototx
Eric Hogue,"Wylie, TX",http://www.ci.wylie.tx.us,,error,error
Craig Brown,"Galveston, TX",http://www.cityofgalveston.org,https://www.galvestontx.gov/517/District-2-Craig-Brown,cityofgalvestontx,@CityofGalveston
David Hillock,"Little Elm, TX",http://www.littleelm.org,http://www.littleelm.org/index.aspx?NID=875,error,error
Jim Griffin,"Bedford, TX",http://www.ci.bedford.tx.us,,error,error
Matthew 'Matt' T. Doyle,"Texas City, TX",http://www.texas-city-tx.org,http://www.texas-city-tx.org/page/commissioners.mayor,error,error
Stephen Mason,"Cedar Hill, TX",http://www.cedarhilltx.com,http://cedarhilltx.com/2518/Mayor-Stephen-Mason,error,error
Pat McGrail,"Keller, TX",http://cityofkeller.com,,error,error
Ken Shetter,"Burleson, TX",http://www.burlesontx.com,http://www.burlesontx.com/index.aspx?nid=129,error,error
Travis Mitchell,"Kyle, TX",http://www.cityofkyle.com,,error,error
Jim Pruitt,"Rockwall, TX",http://rockwall.com,http://www.rockwall.com/documents/MayorCouncil/JimPruitt.pdf,,
